query,stage,valid,struct_score,align_score,repairs
A person looking at near a tree in a classroom,embedding_only,1,0.5,0.9679462313652039,0
A person looking at near a tree in a classroom,embedding_plus_vlm,1,0.5,0.9679462313652039,0
A person looking at near a tree in a classroom,tfidf_rag,0,0,0,0
A person standing near a bicycle in a classroom,embedding_only,1,1.0,0.9280223846435547,0
A person standing near a bicycle in a classroom,embedding_plus_vlm,0,0,0,0
A person standing near a bicycle in a classroom,tfidf_rag,1,1.0,0.9489396810531616,0
A person running near a bench in a classroom,embedding_only,1,1.0,0.9470329880714417,0
A person running near a bench in a classroom,embedding_plus_vlm,1,1.0,0.9470329880714417,0
A person running near a bench in a classroom,tfidf_rag,1,0.5,0.9252727031707764,0
A person talking near a bicycle in a street,embedding_only,1,1.0,0.9529721140861511,0
A person talking near a bicycle in a street,embedding_plus_vlm,1,1.0,0.9571942687034607,0
A person talking near a bicycle in a street,tfidf_rag,1,1.0,0.9529721140861511,0
A person running near a tree in a street,embedding_only,1,0.5,0.9150177836418152,0
A person running near a tree in a street,embedding_plus_vlm,1,0.5,0.9150177836418152,0
A person running near a tree in a street,tfidf_rag,1,0.5,0.9150177836418152,0
A person walking near a bicycle in a shopping mall,embedding_only,1,1.0,0.9555501341819763,0
A person walking near a bicycle in a shopping mall,embedding_plus_vlm,1,1.0,0.9604293704032898,0
A person walking near a bicycle in a shopping mall,tfidf_rag,1,0.5,0.9762614369392395,0
A person looking at near a dog in a classroom,embedding_only,1,1.0,0.9460338354110718,0
A person looking at near a dog in a classroom,embedding_plus_vlm,1,0.5,0.9394756555557251,0
A person looking at near a dog in a classroom,tfidf_rag,0,0,0,0
A person playing near a phone in a office,embedding_only,1,1.0,0.8366624116897583,0
A person playing near a phone in a office,embedding_plus_vlm,1,0.5,0.9907362461090088,0
A person playing near a phone in a office,tfidf_rag,0,0,0,0
A person playing near a bus in a parking lot,embedding_only,1,0.5,0.970734179019928,0
A person playing near a bus in a parking lot,embedding_plus_vlm,1,0.5,0.970734179019928,0
A person playing near a bus in a parking lot,tfidf_rag,1,0.5,0.970734179019928,0
A person talking near a phone in a playground,embedding_only,1,0.5,0.9820994138717651,0
A person talking near a phone in a playground,embedding_plus_vlm,0,0,0,0
A person talking near a phone in a playground,tfidf_rag,1,1.0,0.956609308719635,0
A person looking at near a bicycle in a classroom,embedding_only,1,0.5,0.9478567838668823,0
A person looking at near a bicycle in a classroom,embedding_plus_vlm,1,1.0,0.9352562427520752,0
A person looking at near a bicycle in a classroom,tfidf_rag,1,0.5,0.9155754446983337,0
A person sitting near a backpack in a shopping mall,embedding_only,1,0.5,0.9672624468803406,0
A person sitting near a backpack in a shopping mall,embedding_plus_vlm,1,0.5,0.9228202104568481,0
A person sitting near a backpack in a shopping mall,tfidf_rag,1,1.0,0.8713328242301941,0
A person playing near a dog in a office,embedding_only,1,0.5,0.9228585958480835,0
A person playing near a dog in a office,embedding_plus_vlm,1,0.5,0.9623998403549194,0
A person playing near a dog in a office,tfidf_rag,1,1.0,0.9563593864440918,0
A person sitting near a laptop in a playground,embedding_only,1,1.0,0.9147986173629761,0
A person sitting near a laptop in a playground,embedding_plus_vlm,1,0.5,0.9663580656051636,0
