query,stage,valid,struct_score,align_score,repairs
A person looking at near a tree in a classroom,embedding_only,1,0.5,0.25,0
A person looking at near a tree in a classroom,embedding_plus_vlm,1,0.5,0.25,0
A person looking at near a tree in a classroom,tfidf_rag,0,0,0,0
A person standing near a bicycle in a classroom,embedding_only,1,1.0,0.2857142857142857,0
A person standing near a bicycle in a classroom,embedding_plus_vlm,1,1.0,0.2857142857142857,0
A person standing near a bicycle in a classroom,tfidf_rag,1,1.0,0.2857142857142857,0
A person running near a bench in a classroom,embedding_only,0,0,0,0
A person running near a bench in a classroom,embedding_plus_vlm,0,0,0,0
A person running near a bench in a classroom,tfidf_rag,0,0,0,0
A person talking near a bicycle in a street,embedding_only,1,1.0,0.2857142857142857,0
A person talking near a bicycle in a street,embedding_plus_vlm,1,0.5,0.2857142857142857,0
A person talking near a bicycle in a street,tfidf_rag,1,1.0,0.2857142857142857,0
A person running near a tree in a street,embedding_only,1,0.5,0.14285714285714285,0
A person running near a tree in a street,embedding_plus_vlm,1,1.0,0.14285714285714285,0
A person running near a tree in a street,tfidf_rag,1,0.5,0.14285714285714285,0
A person walking near a bicycle in a shopping mall,embedding_only,1,0.5,0.25,0
A person walking near a bicycle in a shopping mall,embedding_plus_vlm,1,1.0,0.25,0
A person walking near a bicycle in a shopping mall,tfidf_rag,1,1.0,0.25,0
A person looking at near a dog in a classroom,embedding_only,1,1.0,0.25,0
A person looking at near a dog in a classroom,embedding_plus_vlm,1,0.5,0.375,0
A person looking at near a dog in a classroom,tfidf_rag,1,1.0,0.375,0
A person playing near a phone in a office,embedding_only,1,0.5,0.2857142857142857,0
A person playing near a phone in a office,embedding_plus_vlm,0,0,0,0
A person playing near a phone in a office,tfidf_rag,1,1.0,0.2857142857142857,0
A person playing near a bus in a parking lot,embedding_only,1,0.5,0.25,0
A person playing near a bus in a parking lot,embedding_plus_vlm,1,0.5,0.25,0
A person playing near a bus in a parking lot,tfidf_rag,1,1.0,0.25,0
A person talking near a phone in a playground,embedding_only,1,0.5,0.2857142857142857,0
A person talking near a phone in a playground,embedding_plus_vlm,1,0.5,0.2857142857142857,0
A person talking near a phone in a playground,tfidf_rag,1,1.0,0.2857142857142857,0
A person looking at near a bicycle in a classroom,embedding_only,1,0.5,0.125,0
A person looking at near a bicycle in a classroom,embedding_plus_vlm,1,0.5,0.125,0
A person looking at near a bicycle in a classroom,tfidf_rag,1,0.5,0.25,0
A person sitting near a backpack in a shopping mall,embedding_only,1,0.5,0.5,0
A person sitting near a backpack in a shopping mall,embedding_plus_vlm,1,1.0,0.25,0
A person sitting near a backpack in a shopping mall,tfidf_rag,1,0.5,0.25,0
A person playing near a dog in a office,embedding_only,0,0,0,0
A person playing near a dog in a office,embedding_plus_vlm,1,0.5,0.2857142857142857,0
A person playing near a dog in a office,tfidf_rag,1,1.0,0.2857142857142857,0
A person sitting near a laptop in a playground,embedding_only,1,1.0,0.14285714285714285,0
A person sitting near a laptop in a playground,embedding_plus_vlm,1,0.5,0.14285714285714285,0
A person sitting near a laptop in a playground,tfidf_rag,1,0.5,0.42857142857142855,0
A person looking at near a laptop in a playground,embedding_only,1,0.5,0.25,0
A person looking at near a laptop in a playground,embedding_plus_vlm,1,0.5,0.25,0
A person looking at near a laptop in a playground,tfidf_rag,1,0.5,0.25,0
A person running near a phone in a office,embedding_only,1,1.0,0.2857142857142857,0
